,item_count,unique_item_count,total_price,order_date_index,order_date,order_date_weekday,order_time
1,1,1,13.25,1,2015-01-01,Thursday,11:38:36
2,5,5,92.0,1,2015-01-01,Thursday,11:57:40
3,2,2,37.25,1,2015-01-01,Thursday,12:12:28
4,1,1,16.5,1,2015-01-01,Thursday,12:16:31
5,1,1,16.5,1,2015-01-01,Thursday,12:21:30
6,2,2,24.75,1,2015-01-01,Thursday,12:29:36
7,1,1,12.5,1,2015-01-01,Thursday,12:50:37
8,1,1,12.5,1,2015-01-01,Thursday,12:51:37
9,9,9,143.25,1,2015-01-01,Thursday,12:52:01
10,2,2,41.0,1,2015-01-01,Thursday,13:00:15
11,4,4,73.5,1,2015-01-01,Thursday,13:02:59
12,4,4,70.75,1,2015-01-01,Thursday,13:04:41
13,1,1,20.25,1,2015-01-01,Thursday,13:11:55
14,1,1,12.0,1,2015-01-01,Thursday,13:14:19
15,4,4,63.25,1,2015-01-01,Thursday,13:33:00
16,3,3,50.7,1,2015-01-01,Thursday,13:34:07
17,11,10,184.5,1,2015-01-01,Thursday,13:53:00
18,1,1,20.5,1,2015-01-01,Thursday,13:57:08
19,2,2,40.75,1,2015-01-01,Thursday,13:59:09
20,2,2,30.5,1,2015-01-01,Thursday,14:03:08
21,1,1,20.5,1,2015-01-01,Thursday,14:14:29
22,3,3,55.25,1,2015-01-01,Thursday,14:16:26
23,1,1,12.75,1,2015-01-01,Thursday,14:19:03
24,4,4,57.75,1,2015-01-01,Thursday,14:23:01
25,2,2,37.0,1,2015-01-01,Thursday,14:44:44
26,2,2,32.25,1,2015-01-01,Thursday,14:54:26
27,3,3,57.0,1,2015-01-01,Thursday,15:11:17
28,1,1,12.75,1,2015-01-01,Thursday,15:35:46
29,1,1,12.0,1,2015-01-01,Thursday,15:41:01
30,1,1,20.75,1,2015-01-01,Thursday,15:41:25
31,2,2,25.75,1,2015-01-01,Thursday,15:50:18
32,4,4,69.25,1,2015-01-01,Thursday,15:53:18
33,2,2,32.75,1,2015-01-01,Thursday,15:54:08
34,1,1,12.0,1,2015-01-01,Thursday,16:21:21
35,4,4,66.75,1,2015-01-01,Thursday,16:32:04
36,2,2,32.75,1,2015-01-01,Thursday,16:54:09
37,2,2,41.0,1,2015-01-01,Thursday,16:56:09
38,2,2,31.0,1,2015-01-01,Thursday,17:03:00
39,1,1,20.75,1,2015-01-01,Thursday,17:07:23
40,2,2,30.7,1,2015-01-01,Thursday,17:14:36
41,2,2,26.75,1,2015-01-01,Thursday,17:15:20
42,4,4,67.25,1,2015-01-01,Thursday,17:28:09
43,3,3,54.0,1,2015-01-01,Thursday,17:38:34
44,1,1,12.5,1,2015-01-01,Thursday,17:54:20
45,3,3,45.2,1,2015-01-01,Thursday,17:55:48
46,3,3,58.0,1,2015-01-01,Thursday,18:25:51
47,2,2,32.75,1,2015-01-01,Thursday,18:26:34
48,4,4,70.25,1,2015-01-01,Thursday,18:26:42
49,1,1,20.25,1,2015-01-01,Thursday,18:33:00
50,1,1,25.5,1,2015-01-01,Thursday,18:41:01
51,2,2,38.25,1,2015-01-01,Thursday,18:48:28
52,3,3,57.5,1,2015-01-01,Thursday,18:53:02
53,2,2,27.5,1,2015-01-01,Thursday,18:54:17
54,2,2,37.25,1,2015-01-01,Thursday,19:01:45
55,2,2,33.25,1,2015-01-01,Thursday,19:03:19
56,3,3,53.0,1,2015-01-01,Thursday,19:07:00
57,1,1,16.0,1,2015-01-01,Thursday,19:10:51
58,2,2,31.0,1,2015-01-01,Thursday,19:30:40
59,3,3,39.0,1,2015-01-01,Thursday,19:40:08
60,2,2,35.5,1,2015-01-01,Thursday,20:05:16
61,2,2,37.5,1,2015-01-01,Thursday,20:08:43
62,2,2,33.25,1,2015-01-01,Thursday,20:50:16
63,1,1,14.5,1,2015-01-01,Thursday,20:51:42
64,1,1,12.0,1,2015-01-01,Thursday,20:52:08
65,4,4,52.25,1,2015-01-01,Thursday,21:16:00
66,2,2,32.0,1,2015-01-01,Thursday,21:47:55
67,1,1,20.75,1,2015-01-01,Thursday,22:03:40
68,3,3,53.25,1,2015-01-01,Thursday,22:07:32
69,1,1,20.75,1,2015-01-01,Thursday,22:12:13
70,2,2,33.5,2,2015-01-02,Friday,11:38:51
71,1,1,20.75,2,2015-01-02,Friday,11:40:50
72,1,1,20.25,2,2015-01-02,Friday,11:57:25
73,1,1,12.75,2,2015-01-02,Friday,11:58:56
74,4,4,72.0,2,2015-01-02,Friday,12:01:12
75,3,3,53.25,2,2015-01-02,Friday,12:10:15
76,4,4,70.25,2,2015-01-02,Friday,12:21:17
77,2,2,30.0,2,2015-01-02,Friday,12:22:46
78,8,6,132.95,2,2015-01-02,Friday,12:28:14
79,3,3,52.25,2,2015-01-02,Friday,12:29:11
80,2,2,26.5,2,2015-01-02,Friday,12:35:38
81,1,1,20.75,2,2015-01-02,Friday,12:40:01
82,4,4,65.5,2,2015-01-02,Friday,12:45:51
83,1,1,12.75,2,2015-01-02,Friday,12:53:27
84,1,1,15.25,2,2015-01-02,Friday,13:13:41
85,4,4,64.75,2,2015-01-02,Friday,13:34:49
86,1,1,16.5,2,2015-01-02,Friday,13:40:31
87,4,4,65.25,2,2015-01-02,Friday,14:01:02
88,1,1,18.5,2,2015-01-02,Friday,14:10:08
89,2,2,41.5,2,2015-01-02,Friday,14:30:19
90,2,2,33.0,2,2015-01-02,Friday,15:08:48
91,4,3,64.0,2,2015-01-02,Friday,15:14:43
92,10,9,152.25,2,2015-01-02,Friday,15:17:02
93,1,1,16.25,2,2015-01-02,Friday,15:29:31
94,2,2,28.75,2,2015-01-02,Friday,16:17:16
95,2,2,32.75,2,2015-01-02,Friday,16:18:04
96,1,1,12.0,2,2015-01-02,Friday,16:21:20
97,1,1,12.0,2,2015-01-02,Friday,16:45:33
98,2,2,41.0,2,2015-01-02,Friday,17:18:18
99,1,1,20.75,2,2015-01-02,Friday,17:45:42
100,1,1,16.5,2,2015-01-02,Friday,17:46:17
101,4,4,73.25,2,2015-01-02,Friday,17:51:33
102,2,2,25.25,2,2015-01-02,Friday,17:54:04
103,1,1,12.5,2,2015-01-02,Friday,18:02:09
104,4,4,70.5,2,2015-01-02,Friday,18:02:12
105,4,3,52.75,2,2015-01-02,Friday,18:12:01
106,2,2,41.0,2,2015-01-02,Friday,18:12:13
107,4,4,78.25,2,2015-01-02,Friday,18:25:09
108,3,3,57.75,2,2015-01-02,Friday,18:25:25
109,4,4,74.5,2,2015-01-02,Friday,18:27:50
110,4,4,65.75,2,2015-01-02,Friday,18:36:19
111,4,4,68.5,2,2015-01-02,Friday,18:38:01
112,1,1,9.75,2,2015-01-02,Friday,18:41:40
113,3,3,57.75,2,2015-01-02,Friday,18:50:21
114,2,2,27.5,2,2015-01-02,Friday,18:59:32
115,3,3,49.25,2,2015-01-02,Friday,19:05:17
116,1,1,18.5,2,2015-01-02,Friday,19:18:49
117,2,2,36.75,2,2015-01-02,Friday,19:23:02
118,2,2,32.75,2,2015-01-02,Friday,19:26:59
119,1,1,14.75,2,2015-01-02,Friday,19:32:29
120,3,3,42.75,2,2015-01-02,Friday,19:35:07
121,4,4,75.7,2,2015-01-02,Friday,19:38:48
122,1,1,16.5,2,2015-01-02,Friday,19:50:19
123,1,1,12.0,2,2015-01-02,Friday,20:12:09
124,4,4,65.75,2,2015-01-02,Friday,20:12:34
125,1,1,25.5,2,2015-01-02,Friday,20:31:06
126,1,1,20.25,2,2015-01-02,Friday,20:53:42
127,1,1,12.5,2,2015-01-02,Friday,20:58:23
128,1,1,12.5,2,2015-01-02,Friday,21:05:06
129,2,2,28.0,2,2015-01-02,Friday,21:13:02
130,4,4,59.75,2,2015-01-02,Friday,21:14:55
131,4,4,63.75,2,2015-01-02,Friday,21:33:10
132,1,1,9.75,2,2015-01-02,Friday,21:42:45
133,3,3,49.25,2,2015-01-02,Friday,22:00:17
134,3,3,45.25,2,2015-01-02,Friday,22:13:24
135,1,1,20.25,2,2015-01-02,Friday,22:29:34
136,2,2,31.0,2,2015-01-02,Friday,22:32:49
137,3,3,46.5,3,2015-01-03,Saturday,11:34:10
138,4,4,71.95,3,2015-01-03,Saturday,11:44:50
139,1,1,18.5,3,2015-01-03,Saturday,11:57:39
